latitude,longitude,district,state,crimeType,severity,year,timeOfDay,caseCount,source
14.663559,77.562924,Anantapur,Andhra Pradesh,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
14.689984,77.572577,Anantapur,Andhra Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
14.457042,78.978321,Cuddapah,Andhra Pradesh,CRUELTY_BY_HUSBAND,MEDIUM,2001,MORNING,1,synthetic
17.40411,78.472058,Hyderabad City,Andhra Pradesh,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
18.484674,79.032901,Karimnagar,Andhra Pradesh,RAPE,HIGH,2001,EVENING,1,synthetic
18.451186,79.099221,Karimnagar,Andhra Pradesh,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
16.479701,80.609303,Krishna,Andhra Pradesh,RAPE,HIGH,2001,EVENING,1,synthetic
16.535027,80.638044,Krishna,Andhra Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,AFTERNOON,1,synthetic
15.763987,78.169225,Kurnool,Andhra Pradesh,RAPE,HIGH,2001,AFTERNOON,1,synthetic
16.820276,77.889957,Mahaboobnagar,Andhra Pradesh,RAPE,HIGH,2001,MORNING,1,synthetic
16.758175,77.977573,Mahaboobnagar,Andhra Pradesh,KIDNAPPING_ABDUCTION,HIGH,2001,MORNING,1,synthetic
16.785532,77.934392,Mahaboobnagar,Andhra Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
16.722879,78.011601,Mahaboobnagar,Andhra Pradesh,CRUELTY_BY_HUSBAND,MEDIUM,2001,MORNING,1,synthetic
18.109482,78.21899,Medak,Andhra Pradesh,CRUELTY_BY_HUSBAND,MEDIUM,2001,AFTERNOON,1,synthetic
18.093956,78.236824,Medak,Andhra Pradesh,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
15.399996,79.539879,Prakasham,Andhra Pradesh,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
15.409809,79.64214,Prakasham,Andhra Pradesh,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
17.381519,78.29612,Ranga Reddy,Andhra Pradesh,DOWRY_DEATH,HIGH,2001,EVENING,1,synthetic
17.237719,78.462343,Ranga Reddy,Andhra Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
17.417311,78.391689,Ranga Reddy,Andhra Pradesh,IMPORTATION_OF_GIRLS,CRITICAL,2001,NIGHT,1,synthetic
15.613227,79.856563,Secunderabad Rly.,Andhra Pradesh,DOWRY_DEATH,HIGH,2001,MORNING,1,synthetic
18.180586,84.008545,Srikakulam,Andhra Pradesh,RAPE,HIGH,2001,AFTERNOON,1,synthetic
18.384257,83.82576,Srikakulam,Andhra Pradesh,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
16.501617,80.450461,Vijayawada,Andhra Pradesh,RAPE,HIGH,2001,NIGHT,1,synthetic
16.522087,80.631867,Vijayawada,Andhra Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
15.921356,79.71369,Visakha Rural,Andhra Pradesh,RAPE,HIGH,2001,AFTERNOON,1,synthetic
17.608073,83.237422,Visakhapatnam,Andhra Pradesh,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
18.162939,83.511975,Vizianagaram,Andhra Pradesh,CRUELTY_BY_HUSBAND,MEDIUM,2001,MORNING,1,synthetic
18.01903,79.502149,Warangal,Andhra Pradesh,RAPE,HIGH,2001,NIGHT,1,synthetic
18.136581,79.660322,Warangal,Andhra Pradesh,KIDNAPPING_ABDUCTION,HIGH,2001,MORNING,1,synthetic
17.993531,79.708487,Warangal,Andhra Pradesh,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
17.926369,79.688534,Warangal,Andhra Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
15.668447,79.410683,Total,Andhra Pradesh,RAPE,HIGH,2001,NIGHT,1,synthetic
19.640572,78.102896,Changlang,Arunachal Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
19.502392,78.077478,Changlang,Arunachal Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
21.54505,79.920829,Kameng East,Arunachal Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
20.44433,79.973491,Lohit,Arunachal Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
19.751169,78.888357,Papum Pare,Arunachal Pradesh,RAPE,HIGH,2001,EVENING,1,synthetic
20.909984,78.834557,Siang East,Arunachal Pradesh,KIDNAPPING_ABDUCTION,HIGH,2001,AFTERNOON,1,synthetic
19.952885,79.652253,Siang Upper,Arunachal Pradesh,RAPE,HIGH,2001,NIGHT,1,synthetic
20.027535,79.64202,Siang Upper,Arunachal Pradesh,ASSAULT_ON_WOMEN,MEDIUM,2001,AFTERNOON,1,synthetic
