state_u,district_u,lat,lng
A & N ISLANDS,A AND N ISLANDS,20.68879533333333,79.11521183333333
A & N ISLANDS,ANDAMAN,20.59425351923077,78.98970976923077
A & N ISLANDS,CAR,20.585876,78.58264249999999
A & N ISLANDS,NICOBAR,20.638655454545457,78.84296681818182
A & N ISLANDS,NORTH,28.7101715,77.121305
A & N ISLANDS,NORTH & MIDDLE ANDAMAN,20.958852,79.3055694
A & N ISLANDS,SOUTH,28.45777,77.14660149999999
A & N ISLANDS,SOUTH ANDAMAN,20.85482383333333,79.43171216666667
A & N ISLANDS,TOTAL,20.597029484375,78.91991334375
A & N ISLANDS,TOTAL DISTRICT(S),20.976308166666666,78.9234795
A&N ISLANDS,CAR,20.082577666666666,78.80322933333333
A&N ISLANDS,NORTH,28.6357248,77.1589198
A&N ISLANDS,SOUTH,28.494461,77.25908533333333
A&N ISLANDS,ZZ TOTAL,20.7108935,79.04426966666666
ANDHRA PRADESH,ADILABAD,19.676209384615383,78.53460407692307
ANDHRA PRADESH,ANANTAPUR,14.662835109756097,77.6131478902439
ANDHRA PRADESH,CHITTOOR,13.217736928571428,79.10269588095238
ANDHRA PRADESH,CUDDAPAH,14.490717095238097,78.83766048809524
ANDHRA PRADESH,CYBERABAD,15.884780147058825,79.70294397058824
ANDHRA PRADESH,EAST GODAVARI,17.38962282142857,81.92576002380953
ANDHRA PRADESH,GUNTAKAL RLY.,15.8703225,79.74710970588235
ANDHRA PRADESH,GUNTUR,16.33765525,80.44908053571429
ANDHRA PRADESH,GUNTUR URBAN,16.283255333333333,80.43813156666667
ANDHRA PRADESH,HYDERABAD CITY,17.372669848101268,78.4683035443038
ANDHRA PRADESH,KARIMNAGAR,18.41658918987342,79.11631393670886
ANDHRA PRADESH,KHAMMAM,17.27222344871795,80.14016087179486
ANDHRA PRADESH,KRISHNA,16.626100392857143,80.65702903571429
ANDHRA PRADESH,KURNOOL,15.83800680952381,78.0583977142857
ANDHRA PRADESH,MAHABOOBNAGAR,16.73778464102564,77.97602197435897
