latitude,longitude,gridResolution,riskScore,riskLevel,crimeDensity,nightCrimeRate,severityScore,crimeCount,year
19.57,78.565,0.005,93.6,CRITICAL,41.0266,0.8621,31.2,2,
19.655,78.485,0.005,100.0,CRITICAL,192.4008,0.8162,72.16,4,
19.635,78.44,0.005,60.0,HIGH,35.3678,0.0,40.0,1,
19.755,78.44,0.005,84.0,CRITICAL,35.3678,1.0,56.0,1,
19.71,78.67,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
19.62,78.575,0.005,36.0,MODERATE,21.2207,0.0,24.0,1,
19.655,78.56,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
19.685,78.485,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
19.63,78.57,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
19.8,78.445,0.005,19.2,SAFE,11.3177,0.0,12.8,1,
19.655,78.5,0.005,26.88,SAFE,11.3177,1.0,17.92,1,
19.7,78.48,0.005,26.88,SAFE,11.3177,1.0,17.92,1,
19.625,78.405,0.005,100.0,CRITICAL,181.0831,1.0,76.16,2,
19.625,78.515,0.005,100.0,CRITICAL,113.8843,1.0,49.56,2,
19.825,78.605,0.005,100.0,CRITICAL,105.396,1.0,83.44,1,
19.62,78.605,0.005,100.0,CRITICAL,113.1769,1.0,47.88,2,
19.835,78.475,0.005,100.0,CRITICAL,106.1034,0.9933,42.12,2,
19.64,78.565,0.005,100.0,CRITICAL,105.396,1.0,83.44,1,
19.69,78.555,0.005,100.0,CRITICAL,105.396,1.0,83.44,1,
19.61,78.47,0.005,28.56,SAFE,24.0501,1.0,19.04,1,
19.715,78.515,0.005,28.56,SAFE,24.0501,1.0,19.04,1,
19.56,78.555,0.005,28.56,SAFE,24.0501,1.0,19.04,1,
19.54,78.515,0.005,20.4,SAFE,24.0501,0.0,13.6,1,
19.635,78.59,0.005,100.0,CRITICAL,270.21,0.911,69.4933,3,
19.635,78.555,0.005,100.0,CRITICAL,131.5682,1.0,55.16,2,
19.73,78.56,0.005,100.0,CRITICAL,123.7873,1.0,98.0,1,
19.715,78.555,0.005,100.0,CRITICAL,123.7873,0.0,70.0,1,
19.735,78.54,0.005,100.0,CRITICAL,173.3022,0.7143,77.0,2,
19.655,78.325,0.005,100.0,CRITICAL,123.7873,1.0,98.0,1,
14.82,77.625,0.005,38.64,MODERATE,16.2692,1.0,25.76,1,
14.765,77.62,0.005,38.64,MODERATE,16.2692,1.0,25.76,1,
14.59,77.56,0.005,100.0,CRITICAL,123.0799,0.1322,43.08,2,
14.745,77.58,0.005,27.6,SAFE,16.2692,0.0,18.4,1,
14.605,77.675,0.005,38.64,MODERATE,16.2692,1.0,25.76,1,
14.795,77.52,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
14.755,77.6,0.005,36.0,MODERATE,21.2207,0.0,24.0,1,
14.665,77.74,0.005,72.12,HIGH,51.637,0.589,24.04,2,
14.715,77.585,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
14.72,77.615,0.005,50.4,MODERATE,21.2207,1.0,33.6,1,
14.805,77.57,0.005,11.76,SAFE,4.9515,1.0,7.84,1,
14.665,77.565,0.005,50.4,MODERATE,21.2207,1.0,16.8,2,
14.665,77.555,0.005,11.76,SAFE,4.9515,1.0,7.84,1,
14.815,77.62,0.005,8.4,SAFE,4.9515,0.0,5.6,1,
14.68,77.535,0.005,11.76,SAFE,4.9515,1.0,7.84,1,
14.69,77.575,0.005,99.12,CRITICAL,83.468,1.0,66.08,1,
14.78,77.57,0.005,99.12,CRITICAL,83.468,1.0,66.08,1,
14.695,77.54,0.005,99.12,CRITICAL,83.468,1.0,66.08,1,
14.615,77.635,0.005,99.12,CRITICAL,83.468,1.0,66.08,1,
14.555,77.605,0.005,70.8,HIGH,83.468,0.0,47.2,1,
14.74,77.7,0.005,20.16,SAFE,16.9765,1.0,13.44,1,
14.69,77.655,0.005,20.16,SAFE,16.9765,1.0,13.44,1,
14.68,77.67,0.005,14.4,SAFE,16.9765,0.0,9.6,1,
14.595,77.635,0.005,20.16,SAFE,16.9765,1.0,13.44,1,
14.755,77.52,0.005,20.16,SAFE,16.9765,1.0,13.44,1,
14.625,77.495,0.005,92.4,CRITICAL,108.9328,0.0,61.6,1,
14.705,77.665,0.005,92.4,CRITICAL,108.9328,0.0,61.6,1,
14.83,77.62,0.005,92.4,CRITICAL,108.9328,0.0,61.6,1,
14.54,77.71,0.005,100.0,CRITICAL,108.9328,1.0,86.24,1,
14.725,77.7,0.005,100.0,CRITICAL,108.9328,1.0,86.24,1,
13.065,79.015,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
13.265,79.235,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
13.25,79.1,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
13.31,79.275,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
13.27,78.92,0.005,45.36,MODERATE,19.0986,1.0,30.24,1,
13.16,79.08,0.005,57.12,MODERATE,24.0501,1.0,38.08,1,
13.14,79.105,0.005,100.0,CRITICAL,83.468,1.0,42.56,2,
13.345,79.01,0.005,57.12,MODERATE,24.0501,1.0,38.08,1,
13.2,79.03,0.005,57.12,MODERATE,24.0501,1.0,38.08,1,
13.19,79.01,0.005,100.0,CRITICAL,63.662,0.6222,29.9733,3,
13.22,79.05,0.005,70.56,HIGH,29.7089,1.0,23.52,2,
13.36,79.14,0.005,23.52,SAFE,9.903,1.0,15.68,1,
13.21,79.105,0.005,23.52,SAFE,9.903,1.0,15.68,1,
13.29,78.985,0.005,23.52,SAFE,9.903,1.0,15.68,1,
13.205,79.025,0.005,23.52,SAFE,9.903,1.0,15.68,1,
13.185,79.14,0.005,94.08,CRITICAL,79.2239,1.0,62.72,1,
13.305,79.085,0.005,94.08,CRITICAL,79.2239,1.0,62.72,1,
13.21,79.175,0.005,94.08,CRITICAL,79.2239,1.0,62.72,1,
13.365,79.065,0.005,100.0,CRITICAL,94.7857,1.0,43.68,2,
13.3,79.09,0.005,100.0,CRITICAL,218.573,0.3625,70.76,2,
13.115,79.175,0.005,69.72,HIGH,58.7105,1.0,46.48,1,
13.215,79.15,0.005,69.72,HIGH,58.7105,1.0,46.48,1,
13.23,79.07,0.005,70.2,HIGH,70.7356,0.0,23.4,2,
13.26,79.125,0.005,69.72,HIGH,58.7105,1.0,46.48,1,
13.13,79.19,0.005,49.8,MODERATE,58.7105,0.0,33.2,1,
13.225,79.16,0.005,100.0,CRITICAL,131.5682,1.0,104.16,1,
13.205,79.18,0.005,100.0,CRITICAL,131.5682,1.0,104.16,1,
13.02,79.135,0.005,100.0,CRITICAL,186.742,0.2955,80.88,2,
13.2,79.235,0.005,100.0,CRITICAL,289.3086,1.0,114.52,2,
13.3,79.115,0.005,100.0,CRITICAL,131.5682,1.0,104.16,1,
14.465,78.79,0.005,62.16,HIGH,26.1722,1.0,20.72,2,
14.58,79.085,0.005,33.6,MODERATE,14.1471,1.0,22.4,1,
14.51,78.965,0.005,33.6,MODERATE,14.1471,1.0,22.4,1,
14.455,78.65,0.005,33.6,MODERATE,14.1471,1.0,22.4,1,
14.405,78.9,0.005,33.6,MODERATE,14.1471,1.0,22.4,1,
14.315,78.81,0.005,24.0,SAFE,14.1471,0.0,16.0,1,
14.39,78.94,0.005,33.6,MODERATE,14.1471,1.0,22.4,1,
14.49,78.84,0.005,33.6,MODERATE,14.1471,1.0,22.4,1,
14.515,78.85,0.005,33.6,MODERATE,14.1471,1.0,22.4,1,
14.415,78.74,0.005,24.0,SAFE,14.1471,0.0,16.0,1,
14.475,78.745,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
14.58,78.705,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
14.445,78.705,0.005,20.4,SAFE,12.0251,0.0,13.6,1,
14.48,78.97,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
14.51,78.89,0.005,28.56,SAFE,12.0251,1.0,19.04,1,
14.515,78.775,0.005,100.0,CRITICAL,89.1268,1.0,70.56,1,
14.53,78.795,0.005,100.0,CRITICAL,101.1519,0.1189,34.72,2,
14.415,78.79,0.005,100.0,CRITICAL,100.4445,0.1127,34.16,2,
14.44,78.71,0.005,100.0,CRITICAL,89.1268,1.0,70.56,1,
14.45,78.66,0.005,75.6,HIGH,89.1268,0.0,50.4,1,
14.655,78.88,0.005,31.92,MODERATE,26.8795,1.0,21.28,1,
14.44,78.695,0.005,31.92,MODERATE,26.8795,1.0,21.28,1,
14.495,78.78,0.005,31.92,MODERATE,26.8795,1.0,21.28,1,
14.51,78.925,0.005,31.92,MODERATE,26.8795,1.0,21.28,1,
14.395,78.675,0.005,31.92,MODERATE,26.8795,1.0,21.28,1,
14.395,78.92,0.005,47.88,MODERATE,40.3193,1.0,31.92,1,
14.405,78.995,0.005,47.88,MODERATE,40.3193,1.0,31.92,1,
14.455,78.98,0.005,34.2,MODERATE,40.3193,0.0,22.8,1,
14.41,78.88,0.005,34.2,MODERATE,40.3193,0.0,22.8,1,
14.46,78.895,0.005,47.88,MODERATE,40.3193,1.0,31.92,1,
17.32,82.015,0.005,92.4,CRITICAL,60.8326,1.0,20.5333,3,
17.425,81.96,0.005,27.6,SAFE,16.2692,0.0,18.4,1,
17.35,81.9,0.005,38.64,MODERATE,16.2692,1.0,25.76,1,
17.345,82.035,0.005,38.64,MODERATE,16.2692,1.0,25.76,1,
17.215,81.995,0.005,27.6,SAFE,16.2692,0.0,18.4,1,
17.43,81.97,0.005,73.68,HIGH,36.0752,0.5098,24.56,2,
17.305,81.965,0.005,93.48,CRITICAL,77.1018,0.2385,31.16,2,
17.5,81.845,0.005,43.68,MODERATE,18.3913,1.0,29.12,1,
17.45,81.9,0.005,62.16,HIGH,26.1722,1.0,20.72,2,
17.455,82.09,0.005,43.68,MODERATE,18.3913,1.0,29.12,1,
17.365,81.9,0.005,38.16,MODERATE,19.0986,0.4444,12.72,2,
17.275,81.77,0.005,20.16,SAFE,8.4883,1.0,13.44,1,
17.46,81.89,0.005,14.4,SAFE,8.4883,0.0,9.6,1,
17.395,82.025,0.005,20.16,SAFE,8.4883,1.0,13.44,1,
17.345,81.96,0.005,21.12,SAFE,14.1471,0.4,7.04,2,
17.4,81.85,0.005,100.0,CRITICAL,444.2195,1.0,175.84,2,
17.22,81.945,0.005,100.0,CRITICAL,86.2974,0.8934,35.72,2,
17.355,82.0,0.005,100.0,CRITICAL,107.5181,0.8684,34.2667,3,
17.46,82.015,0.005,91.56,CRITICAL,77.1018,1.0,61.04,1,
17.46,81.825,0.005,91.56,CRITICAL,77.1018,1.0,61.04,1,
17.62,82.075,0.005,34.8,MODERATE,41.0266,0.0,23.2,1,
17.35,81.895,0.005,100.0,CRITICAL,173.3022,1.0,45.7333,3,
17.335,81.92,0.005,48.72,MODERATE,41.0266,1.0,32.48,1,
17.415,81.94,0.005,67.92,HIGH,52.3443,0.7838,22.64,2,
17.35,81.91,0.005,50.52,MODERATE,43.1487,0.9508,16.84,2,
17.48,81.89,0.005,100.0,CRITICAL,174.7169,1.0,138.32,1,
17.485,81.945,0.005,100.0,CRITICAL,174.7169,1.0,138.32,1,
17.4,81.95,0.005,100.0,CRITICAL,174.7169,1.0,138.32,1,
17.315,81.935,0.005,100.0,CRITICAL,174.7169,0.0,98.8,1,
