district,state,latitude,longitude,crimeType,severity,year,timeOfDay,caseCount,source
Adilabad,Andhra Pradesh,19.595503,78.506114,RAPE,HIGH,2001,AFTERNOON,1,synthetic
Adilabad,Andhra Pradesh,19.52082,78.478802,KIDNAPPING_ABDUCTION,HIGH,2001,MORNING,1,synthetic
Adilabad,Andhra Pradesh,19.574111,78.476639,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Adilabad,Andhra Pradesh,19.718687,78.541873,ASSAULT_ON_WOMEN,MEDIUM,2001,MORNING,1,synthetic
Adilabad,Andhra Pradesh,19.718317,78.587535,INSULT_TO_MODESTY,MEDIUM,2001,MORNING,1,synthetic
Adilabad,Andhra Pradesh,19.661673,78.412761,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Anantapur,Andhra Pradesh,14.655956,77.572903,RAPE,HIGH,2001,EVENING,1,synthetic
Anantapur,Andhra Pradesh,14.561464,77.356306,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Anantapur,Andhra Pradesh,14.723656,77.60066,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Anantapur,Andhra Pradesh,14.687141,77.531173,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Anantapur,Andhra Pradesh,14.507731,77.727305,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Anantapur,Andhra Pradesh,14.740443,77.630441,CRUELTY_BY_HUSBAND,MEDIUM,2001,NIGHT,1,synthetic
Chittoor,Andhra Pradesh,13.20891,79.156597,RAPE,HIGH,2001,NIGHT,1,synthetic
Chittoor,Andhra Pradesh,13.222945,79.06169,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Chittoor,Andhra Pradesh,13.205836,79.069287,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Chittoor,Andhra Pradesh,13.324479,78.990506,ASSAULT_ON_WOMEN,MEDIUM,2001,AFTERNOON,1,synthetic
Chittoor,Andhra Pradesh,13.210695,79.051243,INSULT_TO_MODESTY,MEDIUM,2001,NIGHT,1,synthetic
Chittoor,Andhra Pradesh,13.032337,79.161814,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
Cuddapah,Andhra Pradesh,14.430573,78.728139,RAPE,HIGH,2001,NIGHT,1,synthetic
Cuddapah,Andhra Pradesh,14.433722,78.853666,KIDNAPPING_ABDUCTION,HIGH,2001,NIGHT,1,synthetic
Cuddapah,Andhra Pradesh,14.676073,78.706165,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
Cuddapah,Andhra Pradesh,14.628868,78.983341,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Cuddapah,Andhra Pradesh,14.355231,78.74138,INSULT_TO_MODESTY,MEDIUM,2001,AFTERNOON,1,synthetic
Cuddapah,Andhra Pradesh,14.457238,78.825462,CRUELTY_BY_HUSBAND,MEDIUM,2001,EVENING,1,synthetic
East Godavari,Andhra Pradesh,17.152787,81.833063,RAPE,HIGH,2001,EVENING,1,synthetic
East Godavari,Andhra Pradesh,17.422978,81.931716,KIDNAPPING_ABDUCTION,HIGH,2001,MORNING,1,synthetic
East Godavari,Andhra Pradesh,17.363971,81.814409,DOWRY_DEATH,HIGH,2001,NIGHT,1,synthetic
East Godavari,Andhra Pradesh,17.468096,81.827418,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
East Godavari,Andhra Pradesh,17.314505,81.823429,INSULT_TO_MODESTY,MEDIUM,2001,EVENING,1,synthetic
East Godavari,Andhra Pradesh,17.413042,81.825903,CRUELTY_BY_HUSBAND,MEDIUM,2001,AFTERNOON,1,synthetic
Guntakal Rly.,Andhra Pradesh,16.113547,79.88617,ASSAULT_ON_WOMEN,MEDIUM,2001,EVENING,1,synthetic
Guntur,Andhra Pradesh,16.269386,80.408702,RAPE,HIGH,2001,NIGHT,1,synthetic
Guntur,Andhra Pradesh,16.492958,80.513447,KIDNAPPING_ABDUCTION,HIGH,2001,EVENING,1,synthetic
Guntur,Andhra Pradesh,16.202528,80.535396,DOWRY_DEATH,HIGH,2001,EVENING,1,synthetic
Guntur,Andhra Pradesh,16.214528,80.426605,ASSAULT_ON_WOMEN,MEDIUM,2001,NIGHT,1,synthetic
Guntur,Andhra Pradesh,16.108481,80.514562,INSULT_TO_MODESTY,MEDIUM,2001,AFTERNOON,1,synthetic
